,City,LocType,NO2,SO2,Sampling.Date,State
0,Hyderabad,Industrial Area,8.7,4.7,1990-04-01,Andhra Pradesh
1,Hyderabad,Industrial Area,8.9,4.0,1990-05-01,Andhra Pradesh
2,Hyderabad,Industrial Area,11.8,5.6,1990-06-01,Andhra Pradesh
3,Hyderabad,Industrial Area,8.8,7.5,2000-08-01,Andhra Pradesh
4,Hyderabad,Industrial Area,10.4,7.1,2000-10-01,Andhra Pradesh
5,Hyderabad,Industrial Area,8.1,7.0,2000-11-01,Andhra Pradesh
6,Hyderabad,Industrial Area,12.7,9.7,2000-12-01,Andhra Pradesh
7,Hyderabad,Industrial Area,7.4,16.3,2001-01-01,Andhra Pradesh
8,Hyderabad,Industrial Area,7.2,11.8,2001-02-01,Andhra Pradesh
9,Hyderabad,Industrial Area,8.2,11.7,2001-03-01,Andhra Pradesh
10,Hyderabad,Industrial Area,12.0,10.0,2001-05-01,Andhra Pradesh
11,Hyderabad,Industrial Area,6.7,7.8,2001-06-01,Andhra Pradesh
12,Hyderabad,Industrial Area,13.4,11.2,2001-08-01,Andhra Pradesh
13,Hyderabad,Industrial Area,11.3,6.0,2001-10-01,Andhra Pradesh
14,Hyderabad,Industrial Area,15.1,15.5,2001-12-01,Andhra Pradesh
15,Hyderabad,Industrial Area,85.5,5.449999999999999,2004-01-16,Andhra Pradesh
16,Hyderabad,Industrial Area,90.15,5.6,2004-01-19,Andhra Pradesh
17,Hyderabad,Industrial Area,41.7,5.25,2004-01-23,Andhra Pradesh
18,Hyderabad,Industrial Area,74.1,5.15,2004-01-30,Andhra Pradesh
19,Hyderabad,Industrial Area,75.9,4.45,2004-02-13,Andhra Pradesh
20,Hyderabad,Industrial Area,77.0,8.05,2004-02-16,Andhra Pradesh
21,Hyderabad,Industrial Area,67.7,7.45,2004-02-20,Andhra Pradesh
22,Hyderabad,Industrial Area,82.0,7.35,2004-02-23,Andhra Pradesh
23,Hyderabad,Industrial Area,60.2,5.7,2004-02-27,Andhra Pradesh
24,Hyderabad,Industrial Area,60.3,5.25,2004-03-15,Andhra Pradesh
25,Hyderabad,Industrial Area,58.4,5.4,2004-03-19,Andhra Pradesh
26,Hyderabad,Industrial Area,58.95,5.25,2004-03-22,Andhra Pradesh
27,Hyderabad,Industrial Area,63.550000000000004,4.75,2004-03-26,Andhra Pradesh
28,Hyderabad,Industrial Area,52.099999999999994,4.5,2004-03-29,Andhra Pradesh
29,Hyderabad,Industrial Area,56.4,5.6,2004-04-13,Andhra Pradesh
30,Hyderabad,Industrial Area,59.5,6.1,2004-04-17,Andhra Pradesh
31,Hyderabad,Industrial Area,58.900000000000006,5.300000000000001,2004-04-19,Andhra Pradesh
32,Hyderabad,Industrial Area,60.7,5.8,2004-04-23,Andhra Pradesh
33,Hyderabad,Industrial Area,53.400000000000006,4.75,2004-04-26,Andhra Pradesh
34,Hyderabad,Industrial Area,57.199999999999996,5.4,2004-04-30,Andhra Pradesh
35,Hyderabad,Industrial Area,42.4,5.5,2004-05-14,Andhra Pradesh
36,Hyderabad,Industrial Area,35.55,4.3,2004-05-17,Andhra Pradesh
37,Hyderabad,Industrial Area,33.55,4.3,2004-05-21,Andhra Pradesh
38,Hyderabad,Industrial Area,38.349999999999994,4.5,2004-05-24,Andhra Pradesh
39,Hyderabad,Industrial Area,32.4,4.699999999999999,2004-05-28,Andhra Pradesh
40,Hyderabad,Industrial Area,23.200000000000003,4.2,2004-05-31,Andhra Pradesh
41,Hyderabad,Industrial Area,29.2,5.2,2004-06-15,Andhra Pradesh
42,Hyderabad,Industrial Area,23.3,5.1,2004-06-17,Andhra Pradesh
43,Hyderabad,Industrial Area,24.700000000000003,4.3,2004-06-21,Andhra Pradesh
44,Hyderabad,Industrial Area,25.6,4.35,2004-06-25,Andhra Pradesh
45,Hyderabad,Industrial Area,22.85,4.199999999999999,2004-06-28,Andhra Pradesh
46,Hyderabad,Industrial Area,24.0,4.4,2004-07-23,Andhra Pradesh
47,Hyderabad,Industrial Area,21.549999999999997,4.3,2004-07-26,Andhra Pradesh
48,Hyderabad,Industrial Area,27.75,4.4,2004-07-30,Andhra Pradesh
49,Hyderabad,Industrial Area,26.1,4.45,2004-08-13,Andhra Pradesh
50,Hyderabad,Industrial Area,25.05,4.3,2004-08-16,Andhra Pradesh
51,Hyderabad,Industrial Area,25.1,5.0,2004-08-18,Andhra Pradesh
52,Hyderabad,Industrial Area,21.4,4.8,2004-08-24,Andhra Pradesh
53,Hyderabad,Industrial Area,23.9,4.65,2004-08-27,Andhra Pradesh
54,Hyderabad,Industrial Area,24.35,4.35,2004-08-30,Andhra Pradesh
55,Hyderabad,Industrial Area,22.5,3.95,2004-09-13,Andhra Pradesh
56,Hyderabad,Industrial Area,23.6,3.8499999999999996,2004-09-17,Andhra Pradesh
57,Hyderabad,Industrial Area,23.95,3.7,2004-09-20,Andhra Pradesh
58,Hyderabad,Industrial Area,24.85,3.55,2004-09-24,Andhra Pradesh
59,Hyderabad,Industrial Area,33.3,5.1,2004-09-27,Andhra Pradesh
60,Hyderabad,Industrial Area,26.75,4.3,2004-10-15,Andhra Pradesh
61,Hyderabad,Industrial Area,25.9,4.05,2004-10-18,Andhra Pradesh
62,Hyderabad,Industrial Area,26.7,4.1,2004-10-22,Andhra Pradesh
63,Hyderabad,Industrial Area,29.75,4.1,2004-10-25,Andhra Pradesh
64,Hyderabad,Industrial Area,28.55,4.15,2004-10-29,Andhra Pradesh
65,Hyderabad,Industrial Area,31.45,4.1,2004-11-19,Andhra Pradesh
66,Hyderabad,Industrial Area,30.05,4.45,2004-11-20,Andhra Pradesh
67,Hyderabad,Industrial Area,30.5,4.25,2004-11-22,Andhra Pradesh
68,Hyderabad,Industrial Area,36.7,4.4,2004-11-23,Andhra Pradesh
69,Hyderabad,Industrial Area,31.6,4.3,2004-11-24,Andhra Pradesh
70,Hyderabad,Industrial Area,34.5,4.25,2004-11-26,Andhra Pradesh
71,Hyderabad,Industrial Area,30.75,4.2,2004-11-29,Andhra Pradesh
72,Hyderabad,Industrial Area,32.8,4.550000000000001,2004-12-13,Andhra Pradesh
73,Hyderabad,Industrial Area,34.099999999999994,4.15,2004-12-20,Andhra Pradesh
74,Hyderabad,Industrial Area,32.9,4.1,2004-12-21,Andhra Pradesh
75,Hyderabad,Industrial Area,31.5,4.1,2004-12-24,Andhra Pradesh
76,Hyderabad,Industrial Area,34.9,4.9,2004-12-28,Andhra Pradesh
77,Hyderabad,Industrial Area,63.4,3.8,2004-03-18,Andhra Pradesh
78,Hyderabad,Industrial Area,51.8,4.4,2004-04-16,Andhra Pradesh
79,Hyderabad,Industrial Area,70.9,4.6,2004-04-24,Andhra Pradesh
80,Hyderabad,Industrial Area,37.7,4.6,2004-05-13,Andhra Pradesh
81,Hyderabad,Industrial Area,29.6,4.2,2004-06-14,Andhra Pradesh
82,Hyderabad,Industrial Area,27.5,3.7,2004-06-18,Andhra Pradesh
83,Hyderabad,Industrial Area,19.0,3.5,2004-08-20,Andhra Pradesh
84,Hyderabad,Industrial Area,22.6,3.5,2004-08-23,Andhra Pradesh
85,Hyderabad,Industrial Area,27.6,4.0,2004-10-24,Andhra Pradesh
86,Hyderabad,Industrial Area,30.6,4.1,2004-11-25,Andhra Pradesh
87,Hyderabad,Industrial Area,30.4,4.1,2004-12-17,Andhra Pradesh
88,Hyderabad,Industrial Area,34.3,4.1,2004-12-27,Andhra Pradesh
89,Hyderabad,Industrial Area,50.099999999999994,8.7,2004-02-01,Andhra Pradesh
90,Hyderabad,Industrial Area,56.2,6.9,2004-05-01,Andhra Pradesh
91,Hyderabad,Industrial Area,48.8,5.3,2004-09-01,Andhra Pradesh
92,Hyderabad,Industrial Area,43.35,5.5,2004-12-01,Andhra Pradesh
93,Hyderabad,Industrial Area,41.6,5.2,2004-03-02,Andhra Pradesh
94,Hyderabad,Industrial Area,71.85,4.55,2004-06-02,Andhra Pradesh
95,Hyderabad,Industrial Area,81.65,4.35,2004-09-02,Andhra Pradesh
96,Hyderabad,Industrial Area,46.0,4.75,2004-01-03,Andhra Pradesh
97,Hyderabad,Industrial Area,60.6,5.1,2004-05-03,Andhra Pradesh
98,Hyderabad,Industrial Area,44.9,5.4,2004-09-03,Andhra Pradesh
99,Hyderabad,Industrial Area,69.8,5.7,2004-11-03,Andhra Pradesh
100,Hyderabad,Industrial Area,49.5,4.7,2004-02-04,Andhra Pradesh
101,Hyderabad,Industrial Area,53.5,6.2,2004-06-04,Andhra Pradesh
102,Hyderabad,Industrial Area,46.6,4.3,2004-07-04,Andhra Pradesh
103,Hyderabad,Industrial Area,54.3,5.05,2004-03-05,Andhra Pradesh
104,Hyderabad,Industrial Area,48.349999999999994,5.15,2004-07-05,Andhra Pradesh
105,Hyderabad,Industrial Area,51.05,4.2,2004-10-05,Andhra Pradesh
106,Hyderabad,Industrial Area,24.9,4.45,2004-07-06,Andhra Pradesh
107,Hyderabad,Industrial Area,27.1,4.3,2004-02-07,Andhra Pradesh
108,Hyderabad,Industrial Area,21.15,4.35,2004-05-07,Andhra Pradesh
109,Hyderabad,Industrial Area,15.75,3.6999999999999997,2004-02-08,Andhra Pradesh
110,Hyderabad,Industrial Area,28.1,4.4,2004-06-08,Andhra Pradesh
111,Hyderabad,Industrial Area,30.5,4.45,2004-09-08,Andhra Pradesh
112,Hyderabad,Industrial Area,21.4,3.55,2004-06-09,Andhra Pradesh
113,Hyderabad,Industrial Area,25.85,4.0,2004-10-09,Andhra Pradesh
114,Hyderabad,Industrial Area,23.25,3.9,2004-04-10,Andhra Pradesh
115,Hyderabad,Industrial Area,27.0,4.15,2004-08-10,Andhra Pradesh
116,Hyderabad,Industrial Area,25.1,4.3,2004-11-10,Andhra Pradesh
117,Hyderabad,Industrial Area,34.0,4.4,2004-01-11,Andhra Pradesh
118,Hyderabad,Industrial Area,33.55,4.25,2004-05-11,Andhra Pradesh
119,Hyderabad,Industrial Area,37.400000000000006,4.15,2004-03-12,Andhra Pradesh
120,Hyderabad,Industrial Area,32.45,4.1,2004-06-12,Andhra Pradesh
121,Hyderabad,Industrial Area,35.1,4.4,2004-08-12,Andhra Pradesh
122,Hyderabad,Industrial Area,46.6,3.6,2004-02-02,Andhra Pradesh
123,Hyderabad,Industrial Area,45.6,4.2,2004-08-03,Andhra Pradesh
124,Hyderabad,Industrial Area,56.3,3.6,2004-12-03,Andhra Pradesh
125,Hyderabad,Industrial Area,37.1,3.4,2004-05-04,Andhra Pradesh
126,Hyderabad,Industrial Area,54.5,4.5,2004-09-04,Andhra Pradesh
127,Hyderabad,Industrial Area,50.2,3.7,2004-12-04,Andhra Pradesh
128,Hyderabad,Industrial Area,25.4,3.9,2004-11-06,Andhra Pradesh
129,Hyderabad,Industrial Area,20.4,3.3,2004-03-09,Andhra Pradesh
130,Hyderabad,Industrial Area,28.8,4.2,2004-10-12,Andhra Pradesh
131,Hyderabad,Industrial Area,36.3,5.0,2005-01-15,Andhra Pradesh
132,Hyderabad,Industrial Area,30.35,5.4,2005-01-17,Andhra Pradesh
133,Hyderabad,Industrial Area,34.0,4.5,2005-01-22,Andhra Pradesh
134,Hyderabad,Industrial Area,34.5,4.8,2005-01-24,Andhra Pradesh
135,Hyderabad,Industrial Area,34.9,4.9,2005-01-28,Andhra Pradesh
136,Hyderabad,Industrial Area,34.95,4.8,2005-01-31,Andhra Pradesh
137,Hyderabad,Industrial Area,37.95,4.9,2005-02-14,Andhra Pradesh
138,Hyderabad,Industrial Area,32.1,4.6,2005-02-18,Andhra Pradesh
139,Hyderabad,Industrial Area,31.133333333333333,6.1,2005-02-21,Andhra Pradesh
140,Hyderabad,Industrial Area,35.5,4.9,2005-02-25,Andhra Pradesh
141,Hyderabad,Industrial Area,29.8,5.3,2005-02-27,Andhra Pradesh
142,Hyderabad,Industrial Area,23.0,5.1,2005-03-13,Andhra Pradesh
143,Hyderabad,Industrial Area,74.1,4.85,2005-03-15,Andhra Pradesh
144,Hyderabad,Industrial Area,43.1,4.8,2005-03-19,Andhra Pradesh
145,Hyderabad,Industrial Area,56.349999999999994,4.9,2005-03-22,Andhra Pradesh
146,Hyderabad,Industrial Area,43.3,5.5,2005-03-27,Andhra Pradesh
147,Hyderabad,Industrial Area,39.7,4.6,2005-03-30,Andhra Pradesh
148,Hyderabad,Industrial Area,47.5,5.95,2005-04-15,Andhra Pradesh
149,Hyderabad,Industrial Area,18.4,4.9,2005-04-19,Andhra Pradesh
150,Hyderabad,Industrial Area,23.2,4.566666666666666,2005-04-20,Andhra Pradesh
151,Hyderabad,Industrial Area,63.0,5.1,2005-04-23,Andhra Pradesh
152,Hyderabad,Industrial Area,64.4,4.95,2005-04-26,Andhra Pradesh
153,Hyderabad,Industrial Area,22.46666666666667,4.133333333333333,2005-05-13,Andhra Pradesh
154,Hyderabad,Industrial Area,19.1,4.75,2005-05-15,Andhra Pradesh
155,Hyderabad,Industrial Area,19.3,4.25,2005-05-19,Andhra Pradesh
156,Hyderabad,Industrial Area,37.35,4.95,2005-05-21,Andhra Pradesh
157,Hyderabad,Industrial Area,33.4,4.166666666666667,2005-05-24,Andhra Pradesh
158,Hyderabad,Industrial Area,33.4,4.6,2005-05-28,Andhra Pradesh
159,Hyderabad,Industrial Area,25.733333333333334,4.7,2005-06-14,Andhra Pradesh
160,Hyderabad,Industrial Area,28.75,5.050000000000001,2005-06-17,Andhra Pradesh
161,Hyderabad,Industrial Area,15.2,4.9,2005-06-21,Andhra Pradesh
162,Hyderabad,Industrial Area,26.15,4.9,2005-06-23,Andhra Pradesh
163,Hyderabad,Industrial Area,18.766666666666666,4.666666666666667,2005-06-28,Andhra Pradesh
164,Hyderabad,Industrial Area,24.049999999999997,4.85,2005-07-16,Andhra Pradesh
165,Hyderabad,Industrial Area,22.549999999999997,4.8,2005-07-19,Andhra Pradesh
166,Hyderabad,Industrial Area,23.5,4.9,2005-07-24,Andhra Pradesh
167,Hyderabad,Industrial Area,22.0,5.166666666666667,2005-07-27,Andhra Pradesh
168,Hyderabad,Industrial Area,17.133333333333333,5.166666666666667,2005-07-29,Andhra Pradesh
169,Hyderabad,Industrial Area,26.9,5.3,2005-08-13,Andhra Pradesh
170,Hyderabad,Industrial Area,20.7,4.699999999999999,2005-08-16,Andhra Pradesh
171,Hyderabad,Industrial Area,20.0,4.7,2005-08-21,Andhra Pradesh
172,Hyderabad,Industrial Area,25.549999999999997,5.15,2005-08-24,Andhra Pradesh
173,Hyderabad,Industrial Area,23.25,4.75,2005-08-26,Andhra Pradesh
174,Hyderabad,Industrial Area,26.2,5.0,2005-08-30,Andhra Pradesh
175,Hyderabad,Industrial Area,18.3,5.133333333333334,2005-09-13,Andhra Pradesh
176,Hyderabad,Industrial Area,24.9,5.3,2005-09-16,Andhra Pradesh
177,Hyderabad,Industrial Area,22.5,5.2,2005-09-22,Andhra Pradesh
178,Hyderabad,Industrial Area,25.65,5.1,2005-09-24,Andhra Pradesh
179,Hyderabad,Industrial Area,26.4,4.8,2005-09-25,Andhra Pradesh
180,Hyderabad,Industrial Area,25.05,5.15,2005-09-28,Andhra Pradesh
181,Hyderabad,Industrial Area,23.4,5.300000000000001,2005-10-13,Andhra Pradesh
182,Hyderabad,Industrial Area,26.5,5.15,2005-10-15,Andhra Pradesh
183,Hyderabad,Industrial Area,29.549999999999997,5.15,2005-10-19,Andhra Pradesh
184,Hyderabad,Industrial Area,24.0,4.949999999999999,2005-10-23,Andhra Pradesh
185,Hyderabad,Industrial Area,24.0,10.2,2005-10-27,Andhra Pradesh
186,Hyderabad,Industrial Area,23.549999999999997,5.4,2005-10-29,Andhra Pradesh
187,Hyderabad,Industrial Area,22.533333333333335,5.333333333333333,2005-11-13,Andhra Pradesh
188,Hyderabad,Industrial Area,31.5,5.1,2005-11-16,Andhra Pradesh
189,Hyderabad,Industrial Area,23.95,5.7,2005-11-18,Andhra Pradesh
190,Hyderabad,Industrial Area,21.7,4.933333333333334,2005-11-22,Andhra Pradesh
191,Hyderabad,Industrial Area,30.849999999999998,5.35,2005-11-26,Andhra Pradesh
192,Hyderabad,Industrial Area,25.03333333333333,5.7,2005-11-29,Andhra Pradesh
193,Hyderabad,Industrial Area,32.5,6.4,2005-12-14,Andhra Pradesh
194,Hyderabad,Industrial Area,32.85,5.199999999999999,2005-12-16,Andhra Pradesh
195,Hyderabad,Industrial Area,29.25,6.5,2005-12-20,Andhra Pradesh
196,Hyderabad,Industrial Area,32.15,5.5,2005-12-24,Andhra Pradesh
197,Hyderabad,Industrial Area,7.0,6.0,2005-01-19,Andhra Pradesh
198,Hyderabad,Industrial Area,16.0,6.0,2005-01-21,Andhra Pradesh
199,Hyderabad,Industrial Area,11.4,6.0,2005-01-27,Andhra Pradesh
200,Hyderabad,Industrial Area,26.5,8.2,2005-02-13,Andhra Pradesh
201,Hyderabad,Industrial Area,22.1,10.8,2005-02-16,Andhra Pradesh
202,Hyderabad,Industrial Area,27.0,8.3,2005-02-24,Andhra Pradesh
203,Hyderabad,Industrial Area,13.8,17.8,2005-03-17,Andhra Pradesh
204,Hyderabad,Industrial Area,14.7,9.8,2005-03-21,Andhra Pradesh
205,Hyderabad,Industrial Area,11.1,5.1,2005-03-23,Andhra Pradesh
206,Hyderabad,Industrial Area,16.1,5.5,2005-03-29,Andhra Pradesh
207,Hyderabad,Industrial Area,13.0,4.3,2005-04-13,Andhra Pradesh
208,Hyderabad,Industrial Area,44.1,12.0,2005-04-18,Andhra Pradesh
209,Hyderabad,Industrial Area,25.0,5.5,2005-04-25,Andhra Pradesh
210,Hyderabad,Industrial Area,16.2,5.9,2005-04-28,Andhra Pradesh
211,Hyderabad,Industrial Area,18.7,2.4,2005-05-17,Andhra Pradesh
212,Hyderabad,Industrial Area,18.0,3.2,2005-05-29,Andhra Pradesh
213,Hyderabad,Industrial Area,18.6,2.6,2005-07-18,Andhra Pradesh
214,Hyderabad,Industrial Area,24.7,3.4,2005-07-21,Andhra Pradesh
215,Hyderabad,Industrial Area,12.1,4.0,2005-08-29,Andhra Pradesh
216,Hyderabad,Industrial Area,12.4,5.5,2005-09-18,Andhra Pradesh
217,Hyderabad,Industrial Area,22.1,5.5,2005-09-21,Andhra Pradesh
218,Hyderabad,Industrial Area,38.5,5.5,2005-09-26,Andhra Pradesh
219,Hyderabad,Industrial Area,19.6,5.5,2005-09-29,Andhra Pradesh
220,Hyderabad,Industrial Area,14.2,2.5,2005-10-18,Andhra Pradesh
221,Hyderabad,Industrial Area,16.4,4.0,2005-10-21,Andhra Pradesh
222,Hyderabad,Industrial Area,25.0,5.5,2005-10-24,Andhra Pradesh
223,Hyderabad,Industrial Area,25.0,5.5,2005-10-30,Andhra Pradesh
224,Hyderabad,Industrial Area,16.8,4.3,2005-11-24,Andhra Pradesh
225,Hyderabad,Industrial Area,9.2,5.5,2005-12-13,Andhra Pradesh
226,Hyderabad,Industrial Area,18.0,2.5,2005-12-18,Andhra Pradesh
227,Hyderabad,Industrial Area,17.5,4.4,2005-12-21,Andhra Pradesh
228,Hyderabad,Industrial Area,20.1,3.9,2005-12-26,Andhra Pradesh
229,Hyderabad,Industrial Area,25.0,5.5,2005-12-29,Andhra Pradesh
230,Hyderabad,Industrial Area,33.5,4.7,2005-02-15,Andhra Pradesh
231,Hyderabad,Industrial Area,35.4,4.8,2005-02-19,Andhra Pradesh
232,Hyderabad,Industrial Area,33.1,4.5,2005-02-26,Andhra Pradesh
233,Hyderabad,Industrial Area,40.6,5.0,2005-03-18,Andhra Pradesh
234,Hyderabad,Industrial Area,68.8,4.6,2005-04-17,Andhra Pradesh
235,Hyderabad,Industrial Area,33.6,5.5,2005-05-18,Andhra Pradesh
236,Hyderabad,Industrial Area,35.6,4.9,2005-05-27,Andhra Pradesh
237,Hyderabad,Industrial Area,26.5,5.1,2005-06-20,Andhra Pradesh
238,Hyderabad,Industrial Area,42.8,5.2,2005-12-27,Andhra Pradesh
239,Hyderabad,Industrial Area,34.8,5.95,2005-03-01,Andhra Pradesh
240,Hyderabad,Industrial Area,40.7,5.7,2005-07-01,Andhra Pradesh
241,Hyderabad,Industrial Area,22.400000000000002,9.85,2005-11-01,Andhra Pradesh
242,Hyderabad,Industrial Area,27.200000000000003,6.3,2005-04-02,Andhra Pradesh
243,Hyderabad,Industrial Area,31.6,4.75,2005-11-02,Andhra Pradesh
244,Hyderabad,Industrial Area,57.2,5.0,2005-02-03,Andhra Pradesh
245,Hyderabad,Industrial Area,36.55,5.050000000000001,2005-05-03,Andhra Pradesh
246,Hyderabad,Industrial Area,37.6,5.9,2005-06-03,Andhra Pradesh
247,Hyderabad,Industrial Area,33.6,4.45,2005-01-04,Andhra Pradesh
248,Hyderabad,Industrial Area,25.799999999999997,5.949999999999999,2005-05-04,Andhra Pradesh
249,Hyderabad,Industrial Area,38.65,5.0,2005-07-04,Andhra Pradesh
250,Hyderabad,Industrial Area,27.3,4.8,2005-12-04,Andhra Pradesh
251,Hyderabad,Industrial Area,34.2,5.4,2005-01-05,Andhra Pradesh
